#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
fract_mandelbrot_wf; 1.20010608; 0.007313; 6.144; 11.13914062; false; false
fract_julia_wf; 0.6000983; 0.00659099; 6.5536; 11.1384375; false; false
lsystem3D_js; 0.35897413; 0.39765901; 113.95389141; 1024; false; false
metaballs3d_wf; 0.21001173; 0.022522; 1.6384; 61.46; false; false
dc_acrilic; 0.08330234; 0.00434401; 3.0722; 20.48; false; false
svg_wf; 0.04812532; 0.00391; 36.10648828; 14.32132813; false; false
maurer_lines; 0.0479323; 0.42835101; 17.4082; 20.48; false; false
post_mandelbulb3d_crop; 0.0310022; 0.001472; 0.6146; 20.48; false; false
dc_fractcolor; 0.02916087; 0.004141; 18.432; 20.48; false; false
dc_warping; 0.02909876; 0.001984; 10.445; 20.48; false; false
glsl_fractaldots; 0.02317695; 0.00203199; 9.4208; 20.48; false; false
text_wf; 0.02315207; 0.00293699; 6.58302344; 5.56921875; false; false
dc_fractaldots; 0.02160394; 0.00338501; 10.0354; 20.48; false; false
glsl_acrilic; 0.02037445; 0.00362; 1.4338; 20.48; false; false
post_coastalbrot_crop; 0.01486682; 0.00152599; 4.096; 20.48; false; false
dc_triTile; 0.0136329; 0.006539; 1.2288; 20.48; false; false
dc_circlesblue; 0.0114649; 0.00236799; 21.2992; 20.48; false; false
glsl_randomoctree; 0.01021519; 0.00179901; 62.0546; 20.48; false; false
glsl_circlesblue; 0.0099327; 0.00302501; 19.6608; 20.48; false; false
dc_voronoise; 0.00862581; 0.00193; 7.9874; 20.48; false; false
dc_circuits; 0.00832148; 0.002946; 17.4082; 20.48; false; false
vortex; 0.00807623; 0.00296499; 102.1954; 20.48; false; false
post_bulbtorus_crop; 0.00797699; 0.001424; 1.0242; 20.48; false; false
dc_randomoctree; 0.00759491; 0.00351301; 65.9456; 20.48; false; false
glsl_circuits; 0.00717439; 0.001691; 16.1794; 20.48; false; false
fract_dragon_wf; 0.00681739; 0.007557; 7.1682; 11.1384375; false; false
dc_inversion; 0.00678881; 0.003805; 13.5168; 20.48; false; false
