#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
metaballs3d_wf; 0.05079876; 0.66670265; 0.00512; 31.25424974; false; false
text_wf; 0.05007687; 0.00077464; 14.53190937; 0.01510755; true; false
fract_mandelbrot_wf; 0.05006668; 0.00713869; 0.02561; 0.92574141; false; false
lsystem3D_js; 0.05001685; 0.66676491; 18.65282094; 20.90500521; false; false
fract_julia_wf; 0.05001001; 0.00444343; 0.03072; 3.99373385; false; false
dc_triTile; 0.05000454; 0.0012695; 0.07681; 1.53606667; false; false
isosfplot3d_wf; 0.0500022; 0.30645787; 0.10753; 17.64633333; false; false
glsl_acrilic; 0.05000043; 0.00182253; 0.89601; 1.263; false; false
dc_acrilic; 0.05000033; 0.00202042; 2.02241; 2.83313333; false; false
bubbleT3D; 0.02243046; 0.00073741; 0.8704; 0.87840078; false; false
dc_circlesblue; 0.01787108; 0.00136862; 8.21761; 1.6384; false; false
glsl_circlesblue; 0.01718711; 0.00164946; 7.25505; 0.6144; false; false
maurer_lines; 0.01433071; 0.66667601; 2.76481008; 16.65706667; false; false
dc_fractaldots; 0.0130318; 0.00336961; 5.66785; 2.287; false; false
dragon_js; 0.01139923; 0.00036869; 0.94208; 0.239; true; false
quaternion; 0.0113917; 0.00475428; 2.13511234; 7.85066667; false; false
koch_js; 0.0111155; 0.00041429; 0.9728; 0.239; true; false
glsl_randomoctree; 0.01083186; 0.00206168; 3.1181834; 0.75093333; false; false
brownian_js; 0.01066352; 0.00039539; 1.03424; 0.239; true; false
hilbert_js; 0.01062244; 0.00036476; 0.9728; 0.239; true; false
gosperisland_js; 0.01048043; 0.00042029; 0.94208; 0.239; true; false
grid3d_wf; 0.0103542; 0.00907332; 2.85696; 2.08157344; true; false
dc_gabornoise; 0.00983286; 0.00272411; 2.048; 1.4336; false; false
dc_inversion; 0.00925583; 0.00265285; 5.03297; 1.6726; false; false
complex; 0.00913365; 0.00377759; 5.53984; 5.5638; false; false
dc_randomoctree; 0.00905188; 0.00241117; 11.88355016; 1.8774; false; false
